"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2009-03-20,NA,NA,NA,0.24,0
2009-03-23,0.32,0.32,0.32,0.32,82
2009-03-24,0.32,0.32,0.32,0.32,238
2009-03-25,NA,NA,NA,0.32,0
2009-03-26,0.32,0.32,0.32,0.32,29
2009-03-27,NA,NA,NA,0.32,0
2009-03-30,NA,NA,NA,0.32,0
2009-03-31,NA,NA,NA,0.32,0
2009-04-01,NA,NA,NA,0.32,0
2009-04-02,0.32,0.32,0.32,0.32,125
2009-04-03,NA,NA,NA,0.32,0
2009-04-06,NA,NA,NA,0.32,0
2009-04-07,NA,NA,NA,0.32,0
2009-04-08,NA,NA,NA,0.32,0
2009-04-09,NA,NA,NA,0.32,0
2009-04-13,0.32,0.32,0.32,0.32,500
2009-04-14,NA,NA,NA,0.32,0
2009-04-15,NA,NA,NA,0.32,0
2009-04-16,NA,NA,NA,0.32,0
2009-04-17,0.32,0.36,0.32,0.36,465
2009-04-20,NA,NA,NA,0.36,0
2009-04-21,0.24,0.24,0.24,0.24,1000
2009-04-22,NA,NA,NA,0.24,0
2009-04-23,NA,NA,NA,0.24,0
2009-04-24,NA,NA,NA,0.24,0
2009-04-27,NA,NA,NA,0.24,0
2009-04-28,NA,NA,NA,0.24,0
2009-04-29,NA,NA,NA,0.24,0
2009-04-30,0.28,0.32,0.28,0.32,5175
2009-05-01,NA,NA,NA,0.32,0
2009-05-04,0.2,0.28,0.2,0.25,29075
2009-05-05,0.2,0.2,0.2,0.2,2
2009-05-06,NA,NA,NA,0.2,0
2009-05-07,NA,NA,NA,0.2,0
2009-05-08,0.28,0.28,0.28,0.28,625
2009-05-11,NA,NA,NA,0.28,0
2009-05-12,NA,NA,NA,0.28,0
2009-05-13,0.28,0.28,0.24,0.24,525
2009-05-14,0.2,0.2,0.2,0.2,700
2009-05-15,0.24,0.4,0.24,0.4,4375
2009-05-18,0.4,0.4,0.4,0.4,650
2009-05-19,NA,NA,NA,0.4,0
2009-05-20,NA,NA,NA,0.4,0
2009-05-21,NA,NA,NA,0.4,0
2009-05-22,0.4,0.4,0.4,0.4,200
2009-05-26,NA,NA,NA,0.4,0
2009-05-27,0.4,0.4,0.4,0.4,155
2009-05-28,0.4,0.4,0.2,0.27,3395
2009-05-29,0.32,2.8,0.32,1.5,12775
2009-06-01,1.4,2.8,1.4,1.64,7878
2009-06-02,1.6,1.76,1.2,1.6,4278
2009-06-03,1.2,1.6,1.2,1.52,575
2009-06-04,1.52,1.52,0.72,1.2,8390
2009-06-05,0.8,1.08,0.8,1.08,7400
2009-06-08,1.16,1.16,1.16,1.16,525
2009-06-09,0.84,0.96,0.84,0.96,1205
2009-06-10,1,1,1,1,495
2009-06-11,1,1,1,1,25
2009-06-12,0.88,0.88,0.88,0.88,12
2009-06-15,0.71,0.71,0.64,0.64,250
2009-06-16,0.68,0.68,0.68,0.68,125
2009-06-17,0.65,0.8,0.6,0.6,3291
2009-06-18,NA,NA,NA,0.6,0
